Latitude,Longitude,Confidence
31.938,-87.769,73
31.716,-86.252,54
31.715,-86.241,92
31.706,-86.243,79
31.414,-84.32,36
31.829,-87.3,52
31.828,-87.289,81
32.126,-89.89,63
32.124,-89.875,96
32.114,-89.876,87
32.24,-91.567,68
32.11,-90.387,54
32.108,-90.371,61
31.979,-89.722,50
31.908,-89.188,70
31.906,-89.174,70
31.768,-88.27,77
31.489,-89.616,79
31.097,-86.497,54
31.458,-89.431,51
31.088,-86.499,67
31.158,-87.151,49
31.538,-90.471,45
31.536,-90.461,57
31.103,-86.942,72
31.102,-86.932,68
31.063,-86.85,49
30.957,-86.82,81
30.956,-86.809,88
30.948,-86.822,66
30.947,-86.811,91
30.813,-86.578,52
31.165,-89.451,53
31.171,-90.128,43
30.418,-85.302,60
30.968,-90.578,53
30.789,-89.09,74
30.787,-89.077,73
30.578,-88.78,53
30.781,-92.889,75
30.473,-94.657,81
30.472,-94.663,80
29.841,-90.045,50
29.836,-90.052,39
19.307,-89.92,57
52.445,-100.96,75
52.06,-101.001,62
52.129,-101.72,55
52.127,-101.706,72
52.027,-102.445,61
51.942,-102.5,57
51.94,-102.486,46
51.932,-102.496,81
51.866,-102.128,79
52.15,-104.258,66
51.775,-102.624,81
51.732,-102.587,41
51.731,-102.888,36
51.722,-102.891,71
51.021,-100.812,90
51.019,-100.797,100
51.016,-100.782,44
50.522,-100.006,0
50.79,-101.606,66
50.918,-105.347,66
50.636,-103.35,87
50.634,-103.337,54
50.627,-103.354,73
50.357,-104.557,79
50.355,-104.544,53
50.067,-103.038,90
50.065,-103.025,81
50.092,-103.325,43
50.009,-102.847,71
50.234,-104.474,33
49.834,-103.768,62
49.557,-102.529,50
49.416,-103.225,60
49.361,-103.058,60
49.359,-103.044,48
48.594,-99.845,57
46.533,-100.019,60
39.828,-104.892,61
38.644,-104.787,57
34.396,-102.242,61
34.392,-102.249,65
34.388,-102.228,11
34.365,-102.3,74
34.673,-111.116,43
34.341,-110.294,35
54.823,-123.059,52
54.817,-123.08,18
54.814,-123.064,87
54.922,-124.695,100
54.203,-122.483,45
54.201,-122.491,60
54.192,-122.496,78
54.17,-122.433,86
54.167,-122.416,82
54.253,-126.914,52
54.236,-126.985,97
54.234,-126.969,95
54.229,-127.003,80
54.227,-126.988,84
54.225,-126.973,75
54.22,-127.007,0
39.155,-121.774,56
38.971,-121.866,53
37.177,-120.771,75
37.172,-120.778,76
40.317,-80.602,41
36.357,-76.804,55
34.276,-78.827,23
34.274,-78.815,29
35.485,-97.533,88
32.458,-97.032,53
26.891,-101.453,94
26.884,-101.41,69
31.934,-84.887,38
32.292,-84.651,74
32.295,-84.661,64
35.458,-77.034,52
36.289,-76.511,0
35.038,-83.912,56
35.036,-83.916,50
37.31,-83.406,34
39.223,-76.483,0
22.257,-97.806,0
26.4,-98.604,83
26.409,-98.606,60
28.924,-96.378,78
29.017,-96.505,56
29.449,-96.181,61
30.22,-89.704,15
29.532,-96.243,78
30.571,-88.794,80
30.564,-88.801,68
30.784,-89.08,63
30.575,-93.601,55
30.475,-94.67,87
30.969,-90.575,91
30.968,-90.595,100
31.521,-87.6,71
30.349,-98.169,49
31.522,-87.575,76
31.483,-89.605,55
31.293,-91.6,61
31.29,-91.605,81
31.478,-89.61,67
31.757,-88.283,93
31.757,-88.288,90
30.671,-98.173,47
31.536,-91.542,26
31.899,-89.197,57
31.913,-89.198,50
31.866,-91.881,74
31.864,-91.898,73
31.538,-95.114,74
32.117,-89.873,59
32.07,-91.017,56
31.625,-95.863,79
32.176,-92.409,72
32.316,-91.24,79
32.314,-91.259,63
32.322,-91.248,87
32.876,-92.575,79
32.875,-92.591,54
33.154,-91.017,50
33.562,-90.354,70
32.907,-96.384,86
33.579,-90.907,39
33.692,-91.539,65
33.682,-92.931,62
33.866,-91.204,57
33.529,-96.057,70
33.553,-95.915,73
33.563,-95.917,27
33.598,-95.71,83
34.337,-97.37,75
34.044,-102.116,100
34.042,-102.13,100
34.968,-97.862,62
34.967,-97.873,62
34.351,-102.012,100
34.349,-102.025,100
34.361,-102.014,100
34.359,-102.028,100
34.398,-102.218,89
34.395,-102.232,100
34.393,-102.246,80
36.255,-101.314,71
36.253,-101.326,89
36.264,-101.317,70
36.262,-101.329,79
36.802,-98.055,54
36.424,-100.665,61
36.422,-100.677,75
34.658,-111.105,36
37.018,-101.18,65
37.473,-98.995,70
37.482,-98.997,82
37.48,-99.008,78
37.897,-98.12,84
37.896,-98.132,69
37.725,-99.417,91
37.733,-99.419,90
37.73,-99.442,83
37.838,-102.151,64
39.153,-96.755,56
39.151,-96.768,87
38.641,-104.794,78
40.267,-99.645,38
39.824,-104.881,90
39.821,-104.897,92
39.829,-104.89,100
39.826,-104.906,80
39.839,-104.893,51
47.751,-101.306,36
47.76,-101.309,73
47.767,-101.325,67
48.597,-99.844,82
48.595,-99.859,62
48.72,-99.65,58
48.73,-99.652,88
48.555,-101.227,37
48.928,-98.208,55
48.746,-99.843,89
48.812,-99.571,52
49.187,-100.088,74
49.185,-100.103,91
49.19,-100.095,80
49.188,-100.11,78
49.38,-100.605,54
49.378,-100.62,88
49.027,-103.234,86
49.025,-103.247,76
49.185,-102.39,79
49.183,-102.404,89
49.093,-103.546,92
49.091,-103.56,71
49.1,-103.554,57
49.313,-103.371,38
49.17,-104.435,49
49.179,-104.438,43
49.418,-103.223,60
49.416,-103.236,80
50.003,-102.556,51
50.001,-102.57,84
50,-102.844,73
50.052,-103.522,68
50.597,-100.588,39
50.756,-101.08,73
50.747,-101.311,49
50.479,-103.394,57
50.355,-104.55,31
50.353,-104.564,76
50.533,-103.478,61
51.052,-99.64,59
51.01,-100.479,91
51.008,-100.495,69
51.02,-100.482,100
51.018,-100.498,82
51.005,-100.771,81
51.16,-99.48,48
51.086,-100.623,61
51.181,-100.05,60
51.179,-100.066,81
51.246,-99.546,72
51.118,-100.681,57
51.154,-100.827,48
50.811,-104.115,78
50.65,-105.745,50
51.343,-101.556,54
51.051,-104.808,46
51.568,-101.959,90
51.566,-101.974,100
51.565,-101.989,67
51.729,-102.58,29
51.728,-102.595,93
51.737,-102.589,77
51.735,-102.604,70
51.997,-101.189,56
52,-101.195,63
51.921,-102.24,56
51.939,-102.169,89
51.307,-106.539,61
52.026,-102.142,94
52.024,-102.157,52
52.021,-102.406,50
52.019,-102.421,31
52.03,-102.461,28
51.596,-105.505,65
51.77,-105.172,39
28.782,-111.646,87
34.65,-111.118,30
34.667,-111.119,72
34.652,-111.122,74
39.17,-121.506,65
39.222,-122.068,72
39.404,-121.925,84
39.402,-121.938,74
39.457,-121.962,95
42.57,-124.326,100
42.569,-124.338,87
42.579,-124.328,96
43.386,-121.789,68
53.651,-121.119,61
53.658,-121.123,34
54.188,-122.495,98
54.186,-122.518,53
54.19,-122.502,92
